Campaign,Ad Group,Keyword,Type,Max CPC,Status
LipoBliss-Search-US,GLP1-Drops-NoInjection,weight loss drops,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,glp 1 drops,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,glp 1 supplement,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,natural glp 1,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,oral glp 1,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,appetite suppressant drops,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,weight loss without injections,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,non injection weight loss,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,needle free weight loss,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,natural weight loss drops,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,fat burning drops,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,weight loss drops that work,Phrase,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,weight loss drops,Exact,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,glp 1 supplement,Exact,5.00,Enabled
LipoBliss-Search-US,GLP1-Drops-NoInjection,natural glp 1,Exact,5.00,Enabled
