arquivo,classe,status,refs_externas,refs_no_bloco,loc,quarantine_confidence
app/Services/Ai/AutonomousEvolution/Aael/Execution/Redaction/AtlasAaelEvidenceRedactionPolicy.php,AtlasAaelEvidenceRedactionPolicy,ORFAO,0,2,36,high
app/Services/Ai/AutonomousEvolution/Aael/Execution/Redaction/AtlasAaelEvidenceRedactionPolicyRegistry.php,AtlasAaelEvidenceRedactionPolicyRegistry,ORFAO,0,1,255,high
app/Services/Ai/AutonomousEvolution/Aael/Execution/Redaction/AtlasAaelEvidenceRedactionRule.php,AtlasAaelEvidenceRedactionRule,ORFAO,0,3,55,high
app/Services/Ai/AutonomousEvolution/Aael/Execution/Redaction/AtlasAaelEvidenceRedactor.php,AtlasAaelEvidenceRedactor,ORFAO,0,1,205,high
app/Services/Ai/AutonomousEvolution/Aael/Execution/Debugger/AtlasAaelExecutionDebuggerReceiptLedger.php,AtlasAaelExecutionDebuggerReceiptLedger,ORFAO,0,0,97,review-aael
app/Services/Ai/AutonomousEvolution/Aael/AtlasAaelExecutionDriftAuditor.php,AtlasAaelExecutionDriftAuditor,ORFAO,0,1,70,high
app/Services/Ai/AutonomousEvolution/Aael/Execution/AtlasAaelExecutionEmergencyAbortGate.php,AtlasAaelExecutionEmergencyAbortGate,ORFAO,0,0,94,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Execution/AtlasAaelExecutionPlanInvariantChecker.php,AtlasAaelExecutionPlanInvariantChecker,ORFAO,0,0,194,review-aael
app/Services/Ai/AutonomousEvolution/Aael/AtlasAaelExecutionPlanProver.php,AtlasAaelExecutionPlanProver,ORFAO,0,1,114,high
app/Services/Ai/AutonomousEvolution/Aael/Execution/AtlasAaelExecutionPlanSemanticProver.php,AtlasAaelExecutionPlanSemanticProver,ORFAO,0,0,186,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Execution/Rollback/AtlasAaelExecutionPreImageSnapshotter.php,AtlasAaelExecutionPreImageSnapshotter,ORFAO,0,2,264,review-aael
app/Services/Ai/AutonomousEvolution/Aael/AtlasAaelExecutionReceiptLedger.php,AtlasAaelExecutionReceiptLedger,ORFAO,0,1,175,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Execution/Rollback/AtlasAaelExecutionRollbackExecutor.php,AtlasAaelExecutionRollbackExecutor,ORFAO,0,1,267,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Execution/Rollback/AtlasAaelExecutionRollbackReceiptLedger.php,AtlasAaelExecutionRollbackReceiptLedger,ORFAO,0,0,311,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Execution/AtlasAaelExecutionSafeStateRecoverer.php,AtlasAaelExecutionSafeStateRecoverer,ORFAO,0,0,139,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Execution/Debugger/AtlasAaelExecutionStepStateInspector.php,AtlasAaelExecutionStepStateInspector,ORFAO,0,0,162,high
app/Services/Ai/AutonomousEvolution/Aael/Execution/Debugger/AtlasAaelExecutionStepwisePauseGate.php,AtlasAaelExecutionStepwisePauseGate,ORFAO,0,0,150,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Execution/TraceReplay/AtlasAaelExecutionTraceRecorder.php,AtlasAaelExecutionTraceRecorder,ORFAO,0,1,234,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Execution/TraceReplay/AtlasAaelExecutionTraceReplayer.php,AtlasAaelExecutionTraceReplayer,ORFAO,0,0,136,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Execution/InFlight/AtlasAaelInFlightDriftAuditor.php,AtlasAaelInFlightDriftAuditor,ORFAO,0,0,79,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Execution/InFlight/AtlasAaelInFlightReceiptLedger.php,AtlasAaelInFlightReceiptLedger,VIVO-EXTERNO,1,0,147,
app/Services/Ai/AutonomousEvolution/Aael/Execution/InFlight/AtlasAaelInFlightStepValidator.php,AtlasAaelInFlightStepValidator,ORFAO,0,1,129,review-aael
app/Services/Ai/AutonomousEvolution/AtlasAaelLoopExecutionBridge.php,AtlasAaelLoopExecutionBridge,ORFAO,0,0,273,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Parallel/AtlasAaelParallelExecutionReceiptLedger.php,AtlasAaelParallelExecutionReceiptLedger,ORFAO,0,0,114,review-aael
app/Services/Ai/AutonomousEvolution/Aael/Parallel/AtlasAaelParallelStepScheduler.php,AtlasAaelParallelStepScheduler,ORFAO,0,0,176,review-aael
